    molid1      molid2     ss1     ss2   sim12   Sscore
      1557    443843  34.279  90.348  23.215  0.2289
      1557    534706  34.279  97.748  27.603  0.2643
      1557    535823  34.279  97.748  27.655  0.2650
      1557    540613  34.279  97.748  27.635  0.2647
      1557    540868  34.279  97.748  27.622  0.2646
      1557    610449  34.279  89.168  22.495  0.2228
      1557       715  34.279  89.398  19.914  0.1919
      1557   1258452  34.279  80.168  28.193  0.3269
      1557   1940415  34.279  82.188  25.896  0.2859
      1557   1940416  34.279  82.188  24.487  0.2662
      1557   1940418  34.279  82.188  26.040  0.2880
      1557   1940419  34.279  82.188  24.527  0.2668
      1557   1940420  34.279  82.188  25.930  0.2864
      1557   1949725  34.279 104.107  21.216  0.1811
      1557   1949726  34.279 104.107  21.216  0.1811
      1557    201177  34.279  98.178  23.409  0.2147
      1557    201241  34.279 103.268  22.787  0.1986
      1557    201334  34.279  96.798  23.412  0.2175
      1557    201375  34.279  96.788  23.677  0.2205
      1557    201584  34.279  97.248  23.393  0.2163
      1557    202924  34.279  88.878  26.777  0.2778
      1557    203734  34.279  90.058  24.314  0.2431
      1557    204065  34.279  88.318  26.093  0.2704
      1557    216258  34.279  97.478  20.928  0.1888
      1557    216439  34.279  97.438  21.087  0.1906
      1557   2205836  34.279 108.378  27.931  0.2435
      1557    231171  34.279  87.218  23.729  0.2427
      1557   2432062  34.279 111.998  24.656  0.2027
      1557    245570  34.279  98.328  23.557  0.2160
      1557    245571  34.279  98.268  23.838  0.2193
      1557    381912  34.279 102.658  22.739  0.1991
      1557    382642  34.279 105.638  22.111  0.1877
      1557    382850  34.279  97.838  21.675  0.1963
      1557        42  34.279  93.518  20.455  0.1906
      1557    535151  34.279 101.698  27.493  0.2534
      1557    535602  34.279 101.738  27.545  0.2539
      1557    536271  34.279 101.698  27.513  0.2537
      1557    559164  34.279 101.738  27.525  0.2537
      1557    591685  34.279 109.037  23.840  0.1995
      1557    598515  34.279 108.618  23.787  0.1997
      1557    600083  34.279 109.037  23.730  0.1984
      1557    604314  34.279 109.037  25.386  0.2153
      1557   1940406  34.279  86.118  27.063  0.2900
      1557   1940408  34.279  86.118  26.067  0.2763
      1557   1940409  34.279  86.118  24.597  0.2568
      1557   1940411  34.279  86.118  25.944  0.2747
      1557   1949728  34.279 108.407  21.444  0.1769
      1557   1949729  34.279 108.407  21.444  0.1769
      1557    201010  34.279 108.978  22.847  0.1897
      1557    201598  34.279  94.228  25.827  0.2515
      1557   2420891  34.279  93.978  23.495  0.2243
      1557   2420895  34.279  98.507  23.245  0.2122
      1557   2432056  34.279 112.298  29.385  0.2507
      1557    263881  34.279 115.597  20.432  0.1578
      1557   3289646  34.279  86.118  26.433  0.2813
      1557   3289647  34.279  86.118  25.103  0.2634
      1557   3289648  34.279  86.118  25.964  0.2750
      1557    380484  34.279 100.497  23.313  0.2092
      1557    381472  34.279  90.787  27.020  0.2756
      1557    381573  34.279 100.978  23.178  0.2068
      1557    382780  34.279  98.158  26.045  0.2448
      1557    396560  34.279 102.158  23.421  0.2072
      1557    396561  34.279 102.027  23.354  0.2068
      1557    397207  34.279  92.368  26.666  0.2667
      1557    426662  34.279 101.948  23.278  0.2061
      1557    487387  34.279 105.027  26.308  0.2328
      1557    539334  34.279 105.807  27.435  0.2435
      1557    557840  34.279 105.807  27.403  0.2432
      1557    569270  34.279  90.028  25.481  0.2578
